zillowmsaid,zillowmetroname,zillowmetrostate,cbsacode,cbsaname,cbsastate,cbsamissinginzillow
102001,United States,-,99999,United States,,
394327,Anchorage,AK,11260,Anchorage,AK,
394580,Fairbanks,AK,21820,Fairbanks,AK,
394730,Juneau,AK,27940,Juneau,AK,
394743,Ketchikan,AK,28540,Ketchikan,AK,
394311,Albertville,AL,10700,Albertville,AL,
,,,10760,Alexander City,AL,Yes
394333,Anniston,AL,11500,Anniston-Oxford-Jacksonville,AL,
,,,12120,Atmore,AL,Yes
394351,Auburn,AL,12220,Auburn-Opelika,AL,
394388,Birmingham,AL,13820,Birmingham-Hoover,AL,
394511,Cullman,AL,18980,Cullman,AL,
394519,Daphne,AL,19300,Daphne-Fairhope-Foley,AL,
394523,Decatur,AL,19460,Decatur,AL,
394537,Dothan,AL,20020,Dothan,AL,
394571,Enterprise,AL,21460,Enterprise,AL,
394598,Florence,AL,22520,Florence-Muscle Shoals,AL,
,,,22840,Fort Payne,AL,Yes
394620,Gadsden,AL,23460,Gadsden,AL,
394698,Huntsville,AL,26620,Huntsville,AL,
394870,Mobile,AL,33660,Mobile,AL,
394875,Montgomery,AL,33860,Montgomery,AL,
753911,Ozark,AL,37120,Ozark,AL,
395073,Scottsboro,AL,42460,Scottsboro,AL,
395083,Selma,AL,42820,Selma,AL,
395145,Talladega,AL,45180,Talladega-Sylacauga,AL,
395165,Troy,AL,45980,Troy,AL,
395171,Tuscaloosa,AL,46220,Tuscaloosa,AL,
395184,Valley,AL,46740,Valley,AL,
394337,Arkadelphia,AR,11660,Arkadelphia,AR,
394366,Batesville,AR,12900,Batesville,AR,
394397,Blytheville,AR,14180,Blytheville,AR,
394435,Camden,AR,15780,Camden,AR,
394560,El Dorado,AR,20980,El Dorado,AR,
394590,Fayetteville,AR,22220,Fayetteville-Springdale-Rogers,AR,
394601,Forrest City,AR,22620,Forrest City,AR,
394609,Fort Smith,AR,22900,Fort Smith,AR,
394667,Harrison,AR,25460,Harrison,AR,
394676,Helena,AR,25760,Helena-West Helena,AR,
